ClientID,Product-Type-A,Product-Type-B,Product-Type-C,Longitude,Latitude
1,12,5,10,-74.0937414486187,4.594078130533438
2,12,8,1,-74.0804928712726,4.561935273949919
3,12,5,10,-74.03247692614413,4.7464619502811365
4,12,7,1,-74.03054098395761,4.697554773105059
5,12,2,1,-74.08131302473933,4.668945057916611
6,12,6,5,-74.10924057631073,4.675777476405624
7,12,9,10,-74.10260417255142,4.591559492551097
8,12,6,6,-74.10435943551812,4.572050149741606
9,12,3,2,-74.09203020117447,4.55011508708845
10,12,2,10,-74.08197372290216,4.57760566460712
11,12,6,3,-74.08962511781289,4.777614450703637
12,12,7,3,-74.07745288336909,4.696137688932328
13,12,7,7,-74.13570054160313,4.727247608841783
14,12,7,7,-74.15345188357989,4.5675659891701335
15,12,7,8,-74.13077763112409,4.593030334163221
16,12,4,2,-74.1227052699045,4.636423576058611
17,12,7,3,-74.1005849894496,4.591791607445242
18,12,2,3,-74.14056167962116,4.622747449738512
19,12,6,4,-74.06727200942481,4.78916236387346
20,12,6,1,-74.1747049449064,4.576857402420538
21,12,5,3,-74.16458800081246,4.599591724399098
22,12,6,3,-74.11999328740032,4.576109904762759
23,8,3,3,-74.09700175813764,4.627604752581942
24,12,4,10,-74.16664539881006,4.576558334141863
25,12,6,10,-74.10893745454102,4.602029797596311
26,12,7,10,-74.09214389727128,4.689034014230171
27,12,8,7,-74.07088239891601,4.660188057498403
28,12,8,7,-74.12895260286405,4.639973454320575
29,10,3,6,-74.11367245169906,4.689225401535074
30,11,5,1,-74.15541620104855,4.674194140586549
31,12,3,7,-74.11203784836118,4.594360785641592
32,12,7,10,-74.08673914662482,4.57824491805547
33,12,4,2,-74.13517607878197,4.650147024225102
34,11,10,10,-74.12887527503621,4.739806639306145
35,8,8,6,-74.06315942159269,4.769714796238365
36,12,2,5,-74.0566749726602,4.651411216371189
37,12,3,4,-74.13206891283933,4.635899014151288
38,12,2,7,-74.16629801157036,4.617293395060948
39,12,5,7,-74.06641826629745,4.657273544650604
40,12,5,10,-74.1090498799488,4.67011350966319
41,12,3,10,-74.04325964911577,4.725446862649273
42,11,2,6,-74.16652307221169,4.623144728573356
43,12,6,10,-74.11547082848226,4.618590327283656
44,12,3,3,-74.0685873634871,4.682395157965871
45,12,4,1,-74.13368238588457,4.607763146797069
46,12,6,3,-74.11200629228438,4.710950230852813
47,12,1,2,-74.14329204782106,4.633636311240196
48,12,6,1,-74.0699478832906,4.671956043054779
49,12,7,4,-74.17021282302046,4.577554533869088
50,12,6,10,-74.09967841239165,4.631671536333919
51,12,7,3,-74.14574853092046,4.507440344890566
52,12,1,3,-74.17840436210952,4.628780492057532
53,12,6,3,-74.09447049316698,4.764641731581168
54,12,9,4,-74.08185220832713,4.567819869339354
55,12,5,10,-74.10261283429972,4.757686186859687
56,12,3,9,-74.181627131481,4.6187071167654965
57,12,8,7,-74.11026848883074,4.700012979025586
58,10,7,7,-74.05810436344832,4.653448362384049
59,12,1,5,-74.11109853973976,4.696237159904983
60,12,6,10,-74.17179551063747,4.637696363744404
61,8,6,7,-74.1457621058229,4.61570225391592
62,12,6,10,-74.05515568169155,4.7144757791304
63,12,3,1,-74.11766190084808,4.633177264646394
64,12,6,2,-74.06821100614248,4.567935330279486
65,12,6,3,-74.11877683161407,4.534237087964813
66,12,7,7,-74.09968311410906,4.5961570164229215
67,12,1,4,-74.13719650116828,4.620519289096767
68,11,1,5,-74.08631384774685,4.776792160844637
69,7,1,8,-74.10034104172318,4.491265427112596
70,12,2,2,-74.15591922142981,4.672322315813494
71,12,6,7,-74.1241188622016,4.719744587091749
72,12,5,6,-74.15910750761537,4.674267457579369
73,12,6,10,-74.16606768119608,4.5659168621076525
74,12,6,9,-74.11463732943756,4.654360844979125
75,12,8,10,-74.0355190120085,4.746178176930266
76,12,7,7,-74.16803535846313,4.565910416313066
77,12,10,6,-74.13378252766333,4.719694258056637
78,11,1,3,-74.10279763415312,4.707848175192448
79,12,7,7,-74.16330257701374,4.672552392999028
80,12,7,5,-74.1511802359947,4.567887130626312
81,12,10,10,-74.07225560059776,4.6736601195767005
82,12,4,3,-74.12758837932913,4.609506905070105
83,12,2,8,-74.15904647969641,4.651699795526851
84,12,9,10,-74.11645307414152,4.722490981457657
85,12,3,6,-74.10951981261685,4.6050996977309815
86,11,5,10,-74.12928389822964,4.709171067521302
87,12,5,5,-74.12948198602479,4.588396817021261
88,12,9,10,-74.13431516878182,4.728118493179072
89,12,7,10,-74.05950890985967,4.754335589140496
90,8,1,2,-74.12337179027222,4.60486799581991
91,12,6,8,-74.15351897939321,4.612348906448528
92,12,7,10,-74.09715635180353,4.626168636526352
93,12,7,1,-74.10306795576022,4.73051772900259
94,10,10,10,-74.09829271717932,4.699582584493616
95,12,6,6,-74.09724749875582,4.688408789200057
96,12,3,10,-74.08874094625146,4.621541655905741
