VehicleType,Capacity,Range
Gas Car,131.9211396722696,145.85207096486445
Gas Car,135.54452491441663,195.69089569224076
Gas Car,114.38031900663994,142.9758912915246
Gas Car,157.9011075721774,173.02304187458725
Gas Car,108.73261473756115,166.27680130757895
Gas Car,108.87797537250091,136.02810739289228
Gas Car,125.80709451758482,92.60159266026606
Gas Car,78.60197201968721,133.1313741227708
Gas Car,95.69205311197382,159.42741997785822
Gas Car,98.20742218749093,107.63088895994125
Gas Car,155.1755704541173,143.22671098540394
Gas Car,121.62067691251018,107.2575544135963
Gas Car,106.93481461139561,153.32767769129597
Gas Car,92.37615414186473,161.27094055037017
Gas Car,105.58467144194869,141.2491875062017
EV,84.44723304519557,1370.4556369017876
EV,95.74085328503166,788.45781420882
EV,111.79286231238123,755.8312700057955
EV,100.01018102409131,608.0659752240449
EV,70.49882786115013,1039.3722471738247
EV,110.17855833591189,1034.2736562379941
EV,93.77955297814579,939.7792608821422
drone,17.607390048162863,12.840467374815875
drone,22.696806145201062,18.171366678656746
drone,26.71809144784231,9.710879533911799
drone,26.620419846973974,13.84475315875105
drone,21.615389998470206,16.835028866522602
drone,30.154997612479754,17.793840357348596
drone,20.803912383886807,14.072362872446357
drone,26.65631715701782,17.926635381367078
drone,22.60412881077355,14.443023070008548
drone,19.46832512996986,11.411380127757987
