idVehiculo,tipoInicio,numeroInicio,tipoFin,numeroFin
5,Almacén,11,Cliente,11
5,Cliente,10,Cliente,16
5,Cliente,15,Cliente,4
5,Cliente,7,Almacén,7
6,Almacén,7,Cliente,7
6,Cliente,5,Cliente,8
6,Cliente,18,Cliente,6
6,Cliente,3,Almacén,3
7,Almacén,9,Cliente,9
7,Cliente,4,Cliente,1
7,Cliente,8,Cliente,5
7,Cliente,16,Cliente,10
7,Cliente,23,Cliente,14
7,Cliente,2,Almacén,2
8,Almacén,3,Cliente,3
8,Cliente,1,Cliente,15
8,Cliente,6,Cliente,18
8,Cliente,12,Cliente,20
8,Cliente,11,Almacén,11
9,Almacén,2,Cliente,2
9,Cliente,14,Cliente,23
9,Cliente,20,Cliente,12
9,Cliente,22,Cliente,17
9,Cliente,9,Almacén,9
10,Almacén,7,Cliente,22
10,Cliente,24,Almacén,12
11,Almacén,11,Cliente,13
11,Cliente,21,Cliente,19
11,Cliente,17,Almacén,5
12,Almacén,12,Cliente,24
12,Cliente,19,Cliente,21
12,Cliente,13,Almacén,11
