idVehiculo,tipoInicio,numeroInicio,tipoFin,numeroFin
3,Almacén,5,Cliente,5
3,Cliente,4,Cliente,27
3,Cliente,5,Cliente,12
3,Cliente,8,Cliente,25
3,Cliente,14,Cliente,15
3,Cliente,15,Cliente,16
3,Cliente,16,Cliente,14
3,Cliente,21,Cliente,22
3,Cliente,22,Cliente,21
3,Cliente,23,Cliente,8
3,Cliente,25,Cliente,23
3,Cliente,27,Cliente,4
3,Cliente,12,Almacén,12
4,Almacén,2,Cliente,2
4,Cliente,2,Cliente,17
4,Cliente,3,Cliente,9
4,Cliente,6,Cliente,7
4,Cliente,7,Cliente,6
4,Cliente,9,Cliente,3
4,Cliente,17,Cliente,20
4,Cliente,19,Cliente,26
4,Cliente,20,Cliente,10
4,Cliente,24,Cliente,19
4,Cliente,26,Cliente,24
4,Cliente,10,Almacén,10
5,Almacén,2,Cliente,28
5,Cliente,13,Cliente,29
5,Cliente,29,Cliente,13
5,Cliente,28,Almacén,2
6,Almacén,11,Cliente,18
6,Cliente,11,Cliente,30
6,Cliente,18,Cliente,1
6,Cliente,30,Cliente,11
6,Cliente,1,Almacén,8
