idVehiculo,tipoInicio,numeroInicio,tipoFin,numeroFin
1,Almacén,6,Cliente,6
1,Cliente,4,Cliente,24
1,Cliente,5,Cliente,9
1,Cliente,7,Cliente,23
1,Cliente,8,Cliente,25
1,Cliente,9,Cliente,5
1,Cliente,10,Cliente,20
1,Cliente,11,Cliente,12
1,Cliente,12,Cliente,19
1,Cliente,13,Cliente,30
1,Cliente,14,Cliente,29
1,Cliente,15,Cliente,4
1,Cliente,16,Cliente,14
1,Cliente,17,Cliente,15
1,Cliente,18,Cliente,26
1,Cliente,19,Cliente,11
1,Cliente,20,Cliente,10
1,Cliente,22,Cliente,16
1,Cliente,23,Cliente,7
1,Cliente,24,Cliente,28
1,Cliente,25,Cliente,8
1,Cliente,26,Cliente,17
1,Cliente,27,Cliente,18
1,Cliente,28,Cliente,27
1,Cliente,29,Cliente,22
1,Cliente,1,Estación,1
1,Cliente,2,Estación,2
1,Estación,2,Cliente,2
1,Cliente,3,Estación,3
1,Estación,3,Cliente,3
1,Estación,1,Cliente,13
1,Cliente,6,Almacén,6
2,Almacén,9,Cliente,1
2,Cliente,21,Estación,7
2,Estación,7,Cliente,21
2,Cliente,30,Almacén,2
