ClientID,Product-Type-A,Product-Type-B,Product-Type-C,Longitude,Latitude
1,12,8,8,-74.08701849368161,4.737609560693917
2,10,9,3,-74.13339575147884,4.582176895239756
3,9,2,6,-74.11225608852583,4.652655272441748
4,6,10,10,-74.17941771088452,4.629312443598583
5,12,3,10,-74.08939336548903,4.623984765932872
6,12,5,8,-74.09770271300941,4.623988625509765
7,12,9,2,-74.07260363480546,4.637687395846544
8,12,5,1,-74.14250767258392,4.541870319320488
9,12,3,9,-74.10358392074414,4.731571299010234
10,12,5,10,-74.15774349911825,4.683717570248014
11,12,6,6,-74.03117957470802,4.709939503206458
12,12,5,9,-74.09260206054694,4.708982491918167
13,12,1,8,-74.08959386154713,4.570928841497421
14,7,1,2,-74.13816696197901,4.652172953061359
15,9,5,6,-74.09517276834255,4.642220159870895
16,12,3,4,-74.15418232994483,4.578561813846307
17,12,5,10,-74.15217026893612,4.608447889430659
18,11,4,1,-74.10985324636056,4.678539464498503
19,12,5,2,-74.10834728306219,4.549930530683333
20,12,10,4,-74.05401010876078,4.711862391805646
21,12,6,10,-74.08338545625583,4.767795839790972
22,12,3,9,-74.13384429599776,4.666349601053726
23,12,5,6,-74.10541739425751,4.603668927336862
24,12,4,6,-74.11576371048514,4.573584822662295
25,10,5,10,-74.08432825523337,4.77130434550135
26,12,1,3,-74.09037298224746,4.554498945090699
27,12,2,10,-74.09712081726146,4.692084205902735
28,12,3,10,-74.0400199817715,4.773860492936093
29,12,3,10,-74.06279010131428,4.768946040654909
30,12,3,9,-74.06921655250127,4.7071385063040685
31,12,4,4,-74.13124669024532,4.635188713514869
32,12,2,10,-74.12029837784857,4.709852570568138
33,12,5,2,-74.10109034234982,4.57218499318618
34,12,7,1,-74.06545132711238,4.638408484075178
35,12,6,8,-74.09351517428468,4.537711681775231
36,12,3,2,-74.11839931007432,4.620545896925091
37,12,2,4,-74.12316051054181,4.700195021901274
38,12,4,5,-74.10176806953677,4.6984060032760455
39,11,4,3,-74.1113723684239,4.538422362659325
40,12,5,4,-74.06651935265681,4.745341540736704
